時点,区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,p
18か月,初回,初回 MoCA-J,21.6±1.9,5,17.0,1,17,0.3333333333333333
18か月,初回,初回 MMSE 時間見当識,4.2±1.1,5,2.0,1,2,0.3333333333333333
18か月,初回,初回 MMSE 場所見当識,4.2±0.8,5,5.0,1,5,0.6666666666666666
18か月,初回,初回 MMSE 物品呼称,2.0±0.0,5,2.0,1,2,
18か月,初回,初回 MMSE 記銘,2.8±0.4,5,3.0,1,3,1.0
18か月,初回,初回 MMSE 注意計算,3.4±1.5,5,5.0,1,5,0.6666666666666666
18か月,初回,初回 MMSE 遅延再生,0.2±0.4,5,0.0,1,0,1.0
18か月,初回,初回 MMSE 復唱,1.0±0.0,5,1.0,1,1,
18か月,初回,初回 MMSE 読字理解,1.0±0.0,5,1.0,1,1,
18か月,初回,初回 MMSE 3段階命令,3.0±0.0,5,3.0,1,3,
18か月,初回,初回 MMSE 書字,1.0±0.0,5,1.0,1,1,
18か月,初回,初回 MMSE 図形模写,1.0±0.0,5,0.0,1,0,0.3333333333333333
18か月,初回,初回 CDR 記憶,0.50±0.00,5,0.50,1,0.5,
18か月,初回,初回 CDR 見当識,0.20±0.27,5,0.50,1,0.5,0.6666666666666666
18か月,初回,初回 CDR 判断力・問題解決,0.40±0.22,5,0.50,1,0.5,1.0
18か月,初回,初回 CDR 地域社会の活動,0.20±0.27,5,0.50,1,0.5,0.6666666666666666
18か月,初回,初回 CDR 家庭・趣味,0.10±0.22,5,0.00,1,0,1.0
18か月,初回,初回 CDR 身の回りの世話,0.00±0.00,5,0.00,1,0,
18か月,18か月,18か月 MMSE合計,24.6±2.1,5,22.0,1,22,0.6666666666666666
18か月,18か月,18か月 CDR-SB,2.8±1.6,5,4.5,1,4.5,0.6666666666666666
18か月,18か月,18か月 Global CDR,0.70±0.27,5,1.00,1,1,0.6666666666666666
18か月,18か月,18か月 MoCA-J,21.0±4.1,4,18.0,1,18,0.8
18か月,18か月,18か月 MMSE 時間見当識,3.4±2.1,5,2.0,1,2,0.6666666666666666
18か月,18か月,18か月 MMSE 場所見当識,4.6±0.5,5,5.0,1,5,1.0
18か月,18か月,18か月 MMSE 物品呼称,2.0±0.0,5,2.0,1,2,
18か月,18か月,18か月 MMSE 記銘,3.0±0.0,5,3.0,1,3,
18か月,18か月,18か月 MMSE 注意計算,4.4±0.5,5,3.0,1,3,0.3333333333333333
18か月,18か月,18か月 MMSE 遅延再生,0.2±0.4,5,0.0,1,0,1.0
18か月,18か月,18か月 MMSE 復唱,1.0±0.0,5,1.0,1,1,
18か月,18か月,18か月 MMSE 読字理解,1.0±0.0,5,1.0,1,1,
18か月,18か月,18か月 MMSE 3段階命令,3.0±0.0,5,3.0,1,3,
18か月,18か月,18か月 MMSE 書字,1.0±0.0,5,1.0,1,1,
18か月,18か月,18か月 MMSE 図形模写,1.0±0.0,5,1.0,1,1,
18か月,18か月,18か月 CDR 記憶,0.70±0.27,5,1.00,1,1,0.6666666666666666
18か月,18か月,18か月 CDR 見当識,0.50±0.35,5,1.00,1,1,0.6666666666666666
18か月,18か月,18か月 CDR 判断力・問題解決,0.50±0.35,5,1.00,1,1,0.6666666666666666
18か月,18か月,18か月 CDR 地域社会の活動,0.50±0.50,5,1.00,1,1,0.6666666666666666
18か月,18か月,18か月 CDR 家庭・趣味,0.40±0.42,5,0.50,1,0.5,1.0
18か月,18か月,18か月 CDR 身の回りの世話,0.20±0.45,5,0.00,1,0,1.0
18か月,変化量,ΔMMSE合計,0.8±1.5,5,-1.0,1,-1,0.6666666666666666
18か月,変化量,ΔCDR-SB,1.4±0.8,5,2.5,1,2.5,0.6666666666666666
18か月,変化量,ΔGlobal CDR,0.20±0.27,5,0.50,1,0.5,0.6666666666666666
18か月,変化量,ΔMoCA-J,-0.2±2.6,4,1.0,1,1,1.0
18か月,変化量,ΔMMSE 時間見当識,-0.8±1.3,5,0.0,1,0,1.0
18か月,変化量,ΔMMSE 場所見当識,0.4±0.9,5,0.0,1,0,1.0
18か月,変化量,ΔMMSE 物品呼称,0.0±0.0,5,0.0,1,0,
18か月,変化量,ΔMMSE 記銘,0.2±0.4,5,0.0,1,0,1.0
18か月,変化量,ΔMMSE 注意計算,1.0±1.2,5,-2.0,1,-2,0.3333333333333333
18か月,変化量,ΔMMSE 遅延再生,0.0±0.0,5,0.0,1,0,
18か月,変化量,ΔMMSE 復唱,0.0±0.0,5,0.0,1,0,
18か月,変化量,ΔMMSE 読字理解,0.0±0.0,5,0.0,1,0,
18か月,変化量,ΔMMSE 3段階命令,0.0±0.0,5,0.0,1,0,
18か月,変化量,ΔMMSE 書字,0.0±0.0,5,0.0,1,0,
18か月,変化量,ΔMMSE 図形模写,0.0±0.0,5,1.0,1,1,0.3333333333333333
18か月,変化量,ΔCDR 記憶,0.20±0.27,5,0.50,1,0.5,0.6666666666666666
18か月,変化量,ΔCDR 見当識,0.30±0.27,5,0.50,1,0.5,1.0
18か月,変化量,ΔCDR 判断力・問題解決,0.10±0.22,5,0.50,1,0.5,0.6666666666666666
18か月,変化量,ΔCDR 地域社会の活動,0.30±0.27,5,0.50,1,0.5,1.0
18か月,変化量,ΔCDR 家庭・趣味,0.30±0.45,5,0.50,1,0.5,1.0
18か月,変化量,ΔCDR 身の回りの世話,0.20±0.45,5,0.00,1,0,1.0
最終利用可能時点,患者背景,年齢（歳）,74.8±4.6,12,78.0±4.2,2,"75, 81",0.5494505494505495
最終利用可能時点,NPI,NPI-Apathy score 初回（点）,0.25±0.62,12,1.00±0.00,2,"1, 1",0.13186813186813187
最終利用可能時点,NPI,NPI-Apathy score 追跡時（点）,0.83±1.19,12,0.00±0.00,2,"0, 0",0.4395604395604396
最終利用可能時点,NPI,NPI-Apathy score 変化量（点）,0.58±0.79,12,-1.00±0.00,2,"-1, -1",0.02197802197802198
最終利用可能時点,初回,初回 MMSE合計,24.9±2.0,12,22.5±0.7,2,"23, 22",0.13186813186813187
最終利用可能時点,初回,初回 CDR-SB,1.5±0.7,12,1.8±0.4,2,"2, 1.5",0.7912087912087913
最終利用可能時点,初回,初回 Global CDR,0.50±0.00,12,0.50±0.00,2,"0.5, 0.5",
最終利用可能時点,初回,初回 MoCA-J,21.5±2.1,10,18.0±1.4,2,"17, 19",0.12121212121212122
最終利用可能時点,初回,初回 MMSE 時間見当識,4.2±1.0,12,2.0±0.0,2,"2, 2",0.02197802197802198
最終利用可能時点,初回,初回 MMSE 場所見当識,4.4±0.7,12,4.5±0.7,2,"5, 4",1.0
最終利用可能時点,初回,初回 MMSE 物品呼称,2.0±0.0,12,2.0±0.0,2,"2, 2",
最終利用可能時点,初回,初回 MMSE 記銘,2.8±0.4,12,3.0±0.0,2,"3, 3",0.7912087912087913
最終利用可能時点,初回,初回 MMSE 注意計算,4.1±1.2,12,4.0±1.4,2,"5, 3",0.9230769230769231
最終利用可能時点,初回,初回 MMSE 遅延再生,0.6±0.9,12,0.5±0.7,2,"0, 1",1.0
最終利用可能時点,初回,初回 MMSE 復唱,0.8±0.4,12,1.0±0.0,2,"1, 1",0.7912087912087913
最終利用可能時点,初回,初回 MMSE 読字理解,1.0±0.0,12,1.0±0.0,2,"1, 1",
